player_tier,team_name,player_name,player_cost,games_played,player_total_pts,player_standardized_score
1,Gen.G eSports,Doran,~~~,4,48.36,12.09
1,Gen.G eSports,Peanut,~~~,4,45.01,11.2525
1,Gen.G eSports,Chovy,~~~,4,46.37,11.5925
1,Gen.G eSports,Peyz,~~~,4,47.7,11.925
1,Gen.G eSports,Delight,~~~,4,40.48,10.12
2,Bilibili Gaming,Bin,~~~,8,83.89,10.48625
2,Bilibili Gaming,XUN,~~~,8,67.17,8.39625
2,Bilibili Gaming,Yagao,~~~,8,66.16,8.27
2,Bilibili Gaming,Elk,~~~,8,74.59,9.32375
2,Bilibili Gaming,ON,~~~,8,58.59,7.32375
3,NRG,Dhokla,~~~,5,57.27,11.454
3,NRG,Contractz,~~~,5,51.94,10.388
3,NRG,Palafox,~~~,5,52.77,10.554
3,NRG,FBI,~~~,5,50.92,10.184000000000001
3,NRG,IgNar,~~~,5,48.94,9.788
2,Weibo Gaming,TheShy,~~~,8,81.77,10.22125
2,Weibo Gaming,WeiWei,~~~,8,68.36,8.545
2,Weibo Gaming,xiaohu,~~~,8,76.45,9.55625
2,Weibo Gaming,Light,~~~,8,86.95,10.86875
2,Weibo Gaming,Crisp,~~~,8,64.9,8.1125
1,JD Gaming,369,~~~,5,48.61,9.722
1,JD Gaming,Kanavi,~~~,5,46.25,9.25
1,JD Gaming,Knight,~~~,5,45.23,9.046
1,JD Gaming,Ruler,~~~,5,47.57,9.514
1,JD Gaming,Missing,~~~,5,38.58,7.715999999999999
2,KT Rolster,Kiin,~~~,8,84.54,10.5675
2,KT Rolster,Cuzz,~~~,8,70.48,8.81
2,KT Rolster,Bdd,~~~,8,75.62,9.4525
2,KT Rolster,Aiming,~~~,8,97.48,12.185
2,KT Rolster,Lehends,~~~,8,57.19,7.14875
1,LNG Esports,Zika,~~~,8,75.66,9.4575
1,LNG Esports,Tarzan,~~~,8,67.67,8.45875
1,LNG Esports,Scout,~~~,8,72.2,9.025
1,LNG Esports,GALA,~~~,8,75.74,9.4675
1,LNG Esports,Hang,~~~,8,54.16,6.77
2,T1,Zeus,~~~,5,52.82,10.564
2,T1,Oner,~~~,5,47.52,9.504000000000001
2,T1,Faker,~~~,5,46.11,9.222
2,T1,Gumayusi,~~~,5,49.86,9.972
2,T1,Keria,~~~,5,40.01,8.001999999999999
